Year,Quarter,Total Revenue,Cost of Revenue,Gross Profit,Premium Revenue,Premium Cost Revenue,Premium Gross Profit,Ad Revenue,Ad Cost of revenue,Ad Gross Profit,MAUs,Premium MAUs,Ad MAUs,Premium ARPU,Sales and Marketing Cost,Research and Development Cost,Genreal and Adminstraive Cost,Apk Downloads,Apk Sum
2017,3,1032,802,230,923,711,212,109,91,18,150,62,91,5.06,138,98,67,29520,29520
2017,4,1449,867,582,1018,761,257,130,106,24,160,71,93,5.24,173,123,73,43818,73338
2018,1,1139,856,283,1037,767,270,102,89,13,170,75,99,4.72,138,115,71,18945,92283
2018,2,1273,944,329,1150,841,309,123,103,20,180,83,101,4.89,173,143,103,8715,100998
2018,3,1352,1010,342,1210,894,316,142,116,26,191,87,109,4.73,146,135,67,5912,106910
2018,4,1495,1096,399,1320,959,361,175,147,28,207,96,116,4.89,163,100,42,4039,110949
2019,1,1511,1138,373,1385,1023,362,126,115,11,217,100,123,4.71,172,155,93,1970,112919
2019,2,1667,1233,434,1502,1089,413,165,144,21,232,108,129,4.86,200,151,86,2438,115357
2019,3,1731,1290,441,1561,1142,419,170,148,22,248,113,141,4.67,178,136,73,2575,117932
2019,4,1855,1381,474,1638,1189,449,217,192,25,271,124,153,4.65,276,173,102,1836,119768
2020,1,1848,1376,472,1700,1219,481,148,157,-9,286,130,163,4.42,231,162,96,1732,121500
2020,2,1889,1410,479,1758,1263,495,131,147,-16,299,138,170,4.41,248,267,131,1195,122695
2020,3,1975,1486,489,1790,1302,488,185,184,1,320,144,185,4.19,256,176,97,1368,124063
2020,4,2168,1593,575,1887,1342,545,281,251,30,345,155,199,4.26,294,232,118,1327,125390
2021,1,2147,1599,548,1931,1393,538,216,206,10,356,158,208,4.12,236,196,102,1299,126689
2021,2,2331,1668,663,2056,1423,633,275,245,30,365,165,210,4.29,279,255,117,2732,129421
2021,3,2501,1833,668,2178,1545,633,323,288,35,381,172,220,4.34,280,208,105,763,130184
2021,4,2689,1977,712,2295,1625,670,394,352,42,406,180,236,4.4,340,253,126,563,130747
2022,1,2661,1990,671,2379,1704,675,282,286,-4,422,182,252,4.38,296,250,131,574,131321
2022,2,2864,2160,704,2504,1804,700,360,356,4,433,188,265,4.54,391,336,171,743,132064
2022,3,3036,2286,750,2651,1908,743,385,378,7,456,195,273,4.63,432,386,160,235,132299
2022,4,3166,2365,801,2717,1939,778,449,426,23,489,205,295,4.55,453,415,164,590,132889
2023,1,3042,2276,776,2713,1937,776,329,339,-10,515,210,317,4.32,347,435,140,482,133371
2023,2,3177,2411,766,2773,1984,789,404,427,-24,551,220,343,4.27,399,453,161,567,133938
2023,3,3357,2472,885,2910,2062,848,447,410,37,574,226,361,4.34,355,369,129,672,134610
2023,4,3671,2691,980,3170,2248,922,501,443,58,602,236,379,4.6,432,468,155,56,134666
